detector_type,descriptor_type,frame,total_keypoints,roi_keypoints,neighbour_size,matched_keypoints,total_time_ms
SHITOMASI,BRIEF,0,1370,125,4,0,16.9885,
SHITOMASI,BRIEF,1,1301,118,4,115,15.4092,
SHITOMASI,BRIEF,2,1361,123,4,111,14.3797,
SHITOMASI,BRIEF,3,1358,120,4,104,14.4041,
SHITOMASI,BRIEF,4,1333,120,4,101,13.682,
SHITOMASI,BRIEF,5,1284,113,4,102,13.4499,
SHITOMASI,BRIEF,6,1322,114,4,102,16.4868,
SHITOMASI,BRIEF,7,1366,123,4,100,29.9309,
SHITOMASI,BRIEF,8,1389,111,4,109,13.8584,
SHITOMASI,BRIEF,9,1339,112,4,100,14.2993,

SHITOMASI,BRISK,0,1370,125,4,0,325.399,
SHITOMASI,BRISK,1,1301,118,4,95,307.708,
SHITOMASI,BRISK,2,1361,123,4,88,308.208,
SHITOMASI,BRISK,3,1358,120,4,80,308.714,
SHITOMASI,BRISK,4,1333,120,4,90,306.811,
SHITOMASI,BRISK,5,1284,113,4,82,304.587,
SHITOMASI,BRISK,6,1322,114,4,79,306.13,
SHITOMASI,BRISK,7,1366,123,4,85,305.858,
SHITOMASI,BRISK,8,1389,111,4,86,304.422,
SHITOMASI,BRISK,9,1339,112,4,82,305.948,

SHITOMASI,ORB,0,1370,125,4,0,12.9111,
SHITOMASI,ORB,1,1301,118,4,106,13.9105,
SHITOMASI,ORB,2,1361,123,4,102,13.7382,
SHITOMASI,ORB,3,1358,120,4,99,12.994,
SHITOMASI,ORB,4,1333,120,4,102,12.9994,
SHITOMASI,ORB,5,1284,113,4,103,31.8106,
SHITOMASI,ORB,6,1322,114,4,97,13.4392,
SHITOMASI,ORB,7,1366,123,4,98,13.6851,
SHITOMASI,ORB,8,1389,111,4,104,11.9618,
SHITOMASI,ORB,9,1339,112,4,97,14.3957,

SHITOMASI,FREAK,0,1370,125,4,0,42.5757,
SHITOMASI,FREAK,1,1301,118,4,86,35.7252,
SHITOMASI,FREAK,2,1361,123,4,90,30.222,
SHITOMASI,FREAK,3,1358,120,4,86,30.2543,
SHITOMASI,FREAK,4,1333,120,4,88,30.279,
SHITOMASI,FREAK,5,1284,113,4,86,30.7137,
SHITOMASI,FREAK,6,1322,114,4,80,30.0963,
SHITOMASI,FREAK,7,1366,123,4,81,40.7232,
SHITOMASI,FREAK,8,1389,111,4,86,30.223,
SHITOMASI,FREAK,9,1339,112,4,85,30.4784,

SHITOMASI,SIFT,0,1370,125,4,0,24.2584,
SHITOMASI,SIFT,1,1301,118,4,112,14.965,
SHITOMASI,SIFT,2,1361,123,4,109,15.6143,
SHITOMASI,SIFT,3,1358,120,4,104,51.0164,
SHITOMASI,SIFT,4,1333,120,4,103,16.0128,
SHITOMASI,SIFT,5,1284,113,4,99,15.2015,
SHITOMASI,SIFT,6,1322,114,4,101,48.8277,
SHITOMASI,SIFT,7,1366,123,4,96,15.4063,
SHITOMASI,SIFT,8,1389,111,4,106,16.2109,
SHITOMASI,SIFT,9,1339,112,4,97,16.2422,

HARRIS,BRIEF,0,115,17,6,0,13.7516,
HARRIS,BRIEF,1,98,14,6,14,8.2032,
HARRIS,BRIEF,2,113,18,6,11,7.60507,
HARRIS,BRIEF,3,121,21,6,15,7.25979,
HARRIS,BRIEF,4,160,26,6,20,7.98972,
HARRIS,BRIEF,5,388,43,6,24,36.1718,
HARRIS,BRIEF,6,85,18,6,26,7.51005,
HARRIS,BRIEF,7,210,31,6,15,9.03482,
HARRIS,BRIEF,8,171,26,6,22,8.62773,
HARRIS,BRIEF,9,281,34,6,22,12.749,

HARRIS,BRISK,0,115,17,6,0,308.856,
HARRIS,BRISK,1,98,14,6,12,297.949,
HARRIS,BRISK,2,113,18,6,9,300.097,
HARRIS,BRISK,3,121,21,6,14,300.402,
HARRIS,BRISK,4,160,26,6,15,298.456,
HARRIS,BRISK,5,388,43,6,16,313.357,
HARRIS,BRISK,6,85,18,6,16,299.862,
HARRIS,BRISK,7,210,31,6,14,300.406,
HARRIS,BRISK,8,171,26,6,21,300.836,
HARRIS,BRISK,9,281,34,6,19,304.913,

HARRIS,ORB,0,115,17,6,0,7.94187,
HARRIS,ORB,1,98,14,6,12,7.75048,
HARRIS,ORB,2,113,18,6,12,8.35594,
HARRIS,ORB,3,121,21,6,15,10.0653,
HARRIS,ORB,4,160,26,6,18,8.60857,
HARRIS,ORB,5,388,43,6,24,20.7995,
HARRIS,ORB,6,85,18,6,20,8.76588,
HARRIS,ORB,7,210,31,6,14,11.2756,
HARRIS,ORB,8,171,26,6,22,10.5223,
HARRIS,ORB,9,281,34,6,21,23.1371,

HARRIS,FREAK,0,115,17,6,0,32.2909,
HARRIS,FREAK,1,98,14,6,13,31.5967,
HARRIS,FREAK,2,113,18,6,12,37.1714,
HARRIS,FREAK,3,121,21,6,15,32.0788,
HARRIS,FREAK,4,160,26,6,15,33.3946,
HARRIS,FREAK,5,388,43,6,17,46.7749,
HARRIS,FREAK,6,85,18,6,20,32.177,
HARRIS,FREAK,7,210,31,6,12,34.3864,
HARRIS,FREAK,8,171,26,6,19,32.8927,
HARRIS,FREAK,9,281,34,6,17,36.957,

HARRIS,SIFT,0,115,17,6,0,15.2418,
HARRIS,SIFT,1,98,14,6,14,16.019,
HARRIS,SIFT,2,113,18,6,11,18.243,
HARRIS,SIFT,3,121,21,6,16,29.9063,
HARRIS,SIFT,4,160,26,6,19,15.3395,
HARRIS,SIFT,5,388,43,6,22,28.3942,
HARRIS,SIFT,6,85,18,6,22,14.7973,
HARRIS,SIFT,7,210,31,6,13,36.5787,
HARRIS,SIFT,8,171,26,6,22,15.9717,
HARRIS,SIFT,9,281,34,6,21,19.8643,

FAST,BRIEF,0,1824,149,7,0,2.51071,
FAST,BRIEF,1,1832,152,7,119,24.1034,
FAST,BRIEF,2,1810,150,7,130,1.24313,
FAST,BRIEF,3,1817,155,7,118,1.16477,
FAST,BRIEF,4,1793,149,7,126,1.12872,
FAST,BRIEF,5,1796,149,7,108,1.52465,
FAST,BRIEF,6,1788,156,7,123,1.48139,
FAST,BRIEF,7,1695,150,7,131,1.14926,
FAST,BRIEF,8,1749,138,7,125,1.43963,
FAST,BRIEF,9,1770,143,7,119,1.14297,

FAST,BRISK,0,1824,149,7,0,335.025,
FAST,BRISK,1,1832,152,7,97,296.798,
FAST,BRISK,2,1810,150,7,104,296.46,
FAST,BRISK,3,1817,155,7,101,294.792,
FAST,BRISK,4,1793,149,7,98,294.35,
FAST,BRISK,5,1796,149,7,85,292.368,
FAST,BRISK,6,1788,156,7,107,293.509,
FAST,BRISK,7,1695,150,7,107,292.131,
FAST,BRISK,8,1749,138,7,100,292.81,
FAST,BRISK,9,1770,143,7,100,292.721,

FAST,ORB,0,1824,149,7,0,1.4024,
FAST,ORB,1,1832,152,7,118,1.54427,
FAST,ORB,2,1810,150,7,123,1.31613,
FAST,ORB,3,1817,155,7,112,1.3229,
FAST,ORB,4,1793,149,7,126,1.3606,
FAST,ORB,5,1796,149,7,106,1.32082,
FAST,ORB,6,1788,156,7,122,1.45639,
FAST,ORB,7,1695,150,7,122,1.37738,
FAST,ORB,8,1749,138,7,123,1.32977,
FAST,ORB,9,1770,143,7,119,1.51359,

FAST,FREAK,0,1824,149,7,0,28.0444,
FAST,FREAK,1,1832,152,7,98,26.8822,
FAST,FREAK,2,1810,150,7,99,25.851,
FAST,FREAK,3,1817,155,7,91,25.8928,
FAST,FREAK,4,1793,149,7,98,26.9951,
FAST,FREAK,5,1796,149,7,85,24.6947,
FAST,FREAK,6,1788,156,7,99,25.6689,
FAST,FREAK,7,1695,150,7,102,28.6738,
FAST,FREAK,8,1749,138,7,101,24.8082,
FAST,FREAK,9,1770,143,7,105,24.5925,

FAST,SIFT,0,1824,149,7,0,22.5351,
FAST,SIFT,1,1832,152,7,118,10.2431,
FAST,SIFT,2,1810,150,7,123,9.96505,
FAST,SIFT,3,1817,155,7,110,9.33043,
FAST,SIFT,4,1793,149,7,119,48.7611,
FAST,SIFT,5,1796,149,7,114,9.31606,
FAST,SIFT,6,1788,156,7,119,9.36216,
FAST,SIFT,7,1695,150,7,123,9.30949,
FAST,SIFT,8,1749,138,7,117,54.6893,
FAST,SIFT,9,1770,143,7,103,9.09836,

BRISK,BRIEF,0,2757,264,21.5492,0,322.353,
BRISK,BRIEF,1,2777,282,21.7853,178,321.001,
BRISK,BRIEF,2,2741,282,21.6509,205,320.546,
BRISK,BRIEF,3,2735,277,20.3582,185,321.242,
BRISK,BRIEF,4,2757,297,22.5911,179,320.708,
BRISK,BRIEF,5,2695,279,22.9442,183,319.467,
BRISK,BRIEF,6,2715,289,21.8014,195,321.192,
BRISK,BRIEF,7,2628,272,22.1472,207,321.47,
BRISK,BRIEF,8,2639,266,22.5558,189,320.809,
BRISK,BRIEF,9,2672,254,22.0389,183,319.975,

BRISK,BRISK,0,2757,264,21.5492,0,612.14,
BRISK,BRISK,1,2777,282,21.7853,171,611.822,
BRISK,BRISK,2,2741,282,21.6509,176,612.172,
BRISK,BRISK,3,2735,277,20.3582,157,611.891,
BRISK,BRISK,4,2757,297,22.5911,176,615.146,
BRISK,BRISK,5,2695,279,22.9442,174,614.877,
BRISK,BRISK,6,2715,289,21.8014,188,612.58,
BRISK,BRISK,7,2628,272,22.1472,173,611.039,
BRISK,BRISK,8,2639,266,22.5558,171,617.803,
BRISK,BRISK,9,2672,254,22.0389,184,613.171,

BRISK,ORB,0,2757,264,21.5492,0,322.713,
BRISK,ORB,1,2777,282,21.7853,162,322.791,
BRISK,ORB,2,2741,282,21.6509,175,327.466,
BRISK,ORB,3,2735,277,20.3582,158,322.737,
BRISK,ORB,4,2757,297,22.5911,167,321.602,
BRISK,ORB,5,2695,279,22.9442,160,323.619,
BRISK,ORB,6,2715,289,21.8014,182,321.283,
BRISK,ORB,7,2628,272,22.1472,167,322.411,
BRISK,ORB,8,2639,266,22.5558,171,324.354,
BRISK,ORB,9,2672,254,22.0389,172,328.889,

BRISK,FREAK,0,2757,264,21.5492,0,347.119,
BRISK,FREAK,1,2777,282,21.7853,160,346.211,
BRISK,FREAK,2,2741,282,21.6509,177,350.847,
BRISK,FREAK,3,2735,277,20.3582,155,350.373,
BRISK,FREAK,4,2757,297,22.5911,173,348.521,
BRISK,FREAK,5,2695,279,22.9442,161,346.049,
BRISK,FREAK,6,2715,289,21.8014,183,346.506,
BRISK,FREAK,7,2628,272,22.1472,169,345.624,
BRISK,FREAK,8,2639,266,22.5558,178,344.947,
BRISK,FREAK,9,2672,254,22.0389,168,349.296,

BRISK,SIFT,0,2757,264,21.5492,0,337.441,
BRISK,SIFT,1,2777,282,21.7853,182,338.974,
BRISK,SIFT,2,2741,282,21.6509,193,358.539,
BRISK,SIFT,3,2735,277,20.3582,169,360.019,
BRISK,SIFT,4,2757,297,22.5911,183,342.345,
BRISK,SIFT,5,2695,279,22.9442,171,354.819,
BRISK,SIFT,6,2715,289,21.8014,195,336.526,
BRISK,SIFT,7,2628,272,22.1472,194,357.741,
BRISK,SIFT,8,2639,266,22.5558,176,341.617,
BRISK,SIFT,9,2672,254,22.0389,183,349.136,

ORB,BRIEF,0,500,92,57.0723,0,6.94899,
ORB,BRIEF,1,500,102,57.2273,49,6.3421,
ORB,BRIEF,2,500,106,56.4948,43,5.00695,
ORB,BRIEF,3,500,113,55.1436,45,5.21743,
ORB,BRIEF,4,500,109,56.7442,59,5.50596,
ORB,BRIEF,5,500,125,56.6367,53,5.33612,
ORB,BRIEF,6,500,130,56.7683,78,5.47862,
ORB,BRIEF,7,500,129,55.4296,68,5.32541,
ORB,BRIEF,8,500,127,54.6723,84,5.39172,
ORB,BRIEF,9,500,128,54.3886,66,51.9458,

ORB,BRISK,0,500,92,57.0723,0,299.518,
ORB,BRISK,1,500,102,57.2273,73,301.787,
ORB,BRISK,2,500,106,56.4948,74,298.944,
ORB,BRISK,3,500,113,55.1436,79,299.835,
ORB,BRISK,4,500,109,56.7442,85,300.692,
ORB,BRISK,5,500,125,56.6367,79,302.424,
ORB,BRISK,6,500,130,56.7683,92,300.589,
ORB,BRISK,7,500,129,55.4296,90,300.43,
ORB,BRISK,8,500,127,54.6723,88,299.021,
ORB,BRISK,9,500,128,54.3886,91,297.686,

ORB,ORB,0,500,92,57.0723,0,8.25259,
ORB,ORB,1,500,102,57.2273,67,7.60791,
ORB,ORB,2,500,106,56.4948,70,17.7027,
ORB,ORB,3,500,113,55.1436,72,7.49428,
ORB,ORB,4,500,109,56.7442,84,7.75626,
ORB,ORB,5,500,125,56.6367,91,7.52759,
ORB,ORB,6,500,130,56.7683,101,7.62459,
ORB,ORB,7,500,129,55.4296,92,8.04881,
ORB,ORB,8,500,127,54.6723,93,7.89834,
ORB,ORB,9,500,128,54.3886,93,7.63094,

ORB,FREAK,0,500,92,57.0723,0,86.7653,
ORB,FREAK,1,500,102,57.2273,42,29.0101,
ORB,FREAK,2,500,106,56.4948,36,28.6881,
ORB,FREAK,3,500,113,55.1436,44,28.402,
ORB,FREAK,4,500,109,56.7442,47,28.9643,
ORB,FREAK,5,500,125,56.6367,44,46.8049,
ORB,FREAK,6,500,130,56.7683,51,29.492,
ORB,FREAK,7,500,129,55.4296,52,32.0353,
ORB,FREAK,8,500,127,54.6723,48,31.8972,
ORB,FREAK,9,500,128,54.3886,56,29.7331,

ORB,SIFT,0,500,92,57.0723,0,43.6427,
ORB,SIFT,1,500,102,57.2273,67,77.1816,
ORB,SIFT,2,500,106,56.4948,79,21.1747,
ORB,SIFT,3,500,113,55.1436,78,81.0746,
ORB,SIFT,4,500,109,56.7442,79,84.1974,
ORB,SIFT,5,500,125,56.6367,82,20.2772,
ORB,SIFT,6,500,130,56.7683,95,82.0566,
ORB,SIFT,7,500,129,55.4296,95,83.875,
ORB,SIFT,8,500,127,54.6723,94,92.3494,
ORB,SIFT,9,500,128,54.3886,94,21.5699,

AKAZE,BRIEF,0,1351,166,7.72917,0,181.154,
AKAZE,BRIEF,1,1327,157,7.4902,141,98.1428,
AKAZE,BRIEF,2,1311,161,7.45211,134,92.9918,
AKAZE,BRIEF,3,1351,155,7.57522,131,177.78,
AKAZE,BRIEF,4,1360,163,7.73319,130,101.029,
AKAZE,BRIEF,5,1347,164,7.68803,134,93.7796,
AKAZE,BRIEF,6,1363,173,7.73878,146,98.2808,
AKAZE,BRIEF,7,1331,175,7.82612,150,176.234,
AKAZE,BRIEF,8,1357,177,7.81555,148,98.9184,
AKAZE,BRIEF,9,1331,179,7.88575,152,99.6945,

AKAZE,BRISK,0,1351,166,7.72917,0,454.494,
AKAZE,BRISK,1,1327,157,7.4902,137,399.294,
AKAZE,BRISK,2,1311,161,7.45211,125,405.782,
AKAZE,BRISK,3,1351,155,7.57522,129,397.892,
AKAZE,BRISK,4,1360,163,7.73319,129,397.704,
AKAZE,BRISK,5,1347,164,7.68803,131,387.571,
AKAZE,BRISK,6,1363,173,7.73878,132,391.914,
